Album;Rok;Médium;Číslo;Název skladby;Autor hudby;Autor textu;Vydavatelství;Poznámka
Zelenáči-Scarabeus-Mustangové;1973;MC;17;Neprodávej tenhle prsten;traditional;M. Navara;Panton;Stopa 2 - Scarabeus
Zelenáči-Scarabeus-Mustangové;1973;MC;18;Dívka z venkova;traditional;M. Navara;Panton;Stopa 2 - Scarabeus
Zelenáči-Scarabeus-Mustangové;1973;MC;19;Zuzi, Zuzano;P. Skalický;P. Skalický;Panton;Stopa 2 - Mustangové
Zelenáči-Scarabeus-Mustangové;1973;MC;20;Buchty;J. Cash;F. Prošek;Panton;Stopa 2 - Mustangové
Zelenáči-Scarabeus-Mustangové;1973;MC;21;Whisky, to je moje gusto;V. Hála;P. Kopta;Panton;Stopa 2 - Mustangové
Zelenáči-Scarabeus-Mustangové;1973;MC;22;Neplač, neplač, je to marné;J. Cash;F. Prošek;Panton;Stopa 2 - Mustangové
Greenhorns 2;1973;MC;1;Vlak na Flint Hill;E. Scruggs;;Panton;
Greenhorns 2;1973;MC;2;A slunce pálí jen;R. Miller;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;3;Cizinec;traditional;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;4;Hromskej den;J. Leiber;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;5;Holky jdou;B. Owens;P. Novotný;Panton;
Greenhorns 2;1973;MC;6;Řekněte jí;H. Halsey;J. Vyčítal;Panton;text: Vyčítal
